"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";NA
"f-981609";"Z_1";"2";"sum";"TRUE";"2";"0.1";"0";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"x-980286";"Z_3";"5";"sum";"FALSE";"5";"10";"1";"softplus";"100";"alle Fälle NA"
"f-387578";"Z_2";"100";"sum";"FALSE";"100";"10";"0.2";"log";"100";"alle Fälle NA"
"h-273681";"Z_5";"3";"sum";"FALSE";"3";"0.1";"5";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"o-611199";"Z_6";"10";"product";"FALSE";"10";"1";"1";"cubic";"100";"Kontraste können nur auf Faktoren mit 2 oder mehr Stufen angewendet werden"
"n-525747";"Z_4";"2";"sum";"FALSE";"2";"10";"0";"square";"100";"alle Fälle NA"
"f-227913";"Z_4";"2";"product";"TRUE";"2";"5";"0.5";"square";"100";"alle Fälle NA"
"v-528396";"Z_5";"50";"sum";"TRUE";"50";"1";"5";"cubic";"100";"nicht passende Argumente"
"n-307856";"Z_3";"50";"product";"TRUE";"50";"0.2";"10";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"c-886677";"Z_4";"2";"product";"TRUE";"2";"0";"0.1";"square";"100";"alle Fälle NA"
"z-151609";"Z_5";"2";"product";"TRUE";"2";"0.2";"2";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"u-920369";"Z_4";"3";"sum";"TRUE";"3";"10";"2";"log";"200";"alle Fälle NA"
"o-178098";"Z_1";"2";"product";"FALSE";"2";"2";"0";"softplus";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"h-941978";"Z_1";"2";"product";"TRUE";"2";"0.1";"5";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"n-358669";"Z_3";"50";"sum";"FALSE";"50";"10";"0.2";"log";"200";"alle Fälle NA"
"g-708871";"Z_1";"3";"sum";"FALSE";"3";"0.2";"0.5";"cubic";"200";"nicht passende Argumente"
"g-936911";"Z_3";"10";"sum";"TRUE";"10";"0.5";"2";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
