"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";NA
"w-620722";"Z_6";"2";"product";"FALSE";"2";"0";"0.5";"square";"100";"Kontraste können nur auf Faktoren mit 2 oder mehr Stufen angewendet werden"
"r-522043";"Z_5";"3";"sum";"TRUE";"3";"0.1";"0.2";"cubic";"100";"nicht passende Argumente"
"s-755086";"Z_1";"3";"product";"TRUE";"3";"0.1";"5";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"l-388933";"Z_5";"50";"sum";"TRUE";"50";"5";"10";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"w-533375";"Z_5";"100";"sum";"TRUE";"100";"5";"5";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"g-571393";"Z_1";"5";"product";"TRUE";"5";"5";"1";"cubic";"100";"nicht passende Argumente"
"f-682993";"Z_1";"2";"product";"TRUE";"2";"0.5";"0.2";"cubic";"100";"nicht passende Argumente"
"w-995925";"Z_3";"3";"sum";"FALSE";"3";"0";"0";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"r-691516";"Z_6";"100";"product";"FALSE";"100";"0";"0.2";"cubic";"100";"alle Fälle NA"
"x-834000";"Z_5";"20";"product";"FALSE";"20";"2";"0.1";"cubic";"100";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"n-700037";"Z_5";"2";"sum";"FALSE";"2";"2";"5";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"x-141343";"Z_2";"2";"product";"TRUE";"2";"1";"10";"softplus";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"u-897254";"Z_1";"10";"product";"TRUE";"10";"1";"10";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"t-928071";"Z_1";"5";"product";"FALSE";"5";"1";"0.2";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
